episode,reward
0,0.67125
100,0.64525
200,0.64975
300,0.65675
400,0.687
500,0.66875
600,0.6185
700,0.6245
800,0.65425
900,0.653
1000,0.62275
1100,0.64075
1200,0.65425
1300,0.653
1400,0.66575
