episode,reward
0,0.393
100,0.396
200,0.269
300,0.2545
400,0.2685
500,0.434
600,0.1385
700,0.2435
800,0.44875
900,0.2525
1000,0.30275
1100,0.44
1200,0.257
1300,1.71975
1400,1.81075
