episode,reward
0,0.65375
100,0.66875
200,0.6675
300,0.65425
400,0.7185
500,0.61425
600,0.6155
700,0.596
800,0.60025
900,0.615
1000,0.6075
1100,0.61725
1200,1.062
1300,1.05975
1400,1.028
1500,0.9845
1600,0.99725
1700,1.039
1800,0.9635
1900,0.98875
